company_name_fr,company_name_commercial,company_name_arabic,company_name_arabic_full,region
,SUPI,SUPI,شركة سوبـــي,
,ste BOSS FORMATION,ste BOSS FORMATION,بوس فورماسيون,
STE PERFECT INTERNATIONAL TRADING,STE PERFECT INTERNATIONAL TRADING,,بارفكت انترناسيونال ترايدنغ,
,SGS-GARD,SGS-GARD,الشركة العامة لخدمات الحراسة,
,,شركة سيدة,شركة سيّـــدة,
STE HYDRO MEC TUNISIA,STE HYDRO MEC TUNISIA,,هـ.م.ت هيدرو ماك تيونيزي,
,,,الوراقة العامة للتصدير ش م م,
,,,ام بي اس نيقوس,
,,تايم للحراسة ش م م,تايم للحراسة ش م م,
,ste Royal Pictures Agency,ste Royal Pictures Agency,رويال   بيكتشرس اجنسي,
HSM CORPORATION,,,شركة ه س م للتعاون,
,,شركة كنسيلتاكس ش ش م م-,شركة كنسيلتاكس ش ش م م-,
HYGIENE TEXTILE SERVICES,,,هيجيان تكستيل سرفيس,
STE TRADING ENGINEERING EXPORT 'T2E' sarl,STE TRADING ENGINEERING EXPORT 'T2E' sarl,,ترادينغ  انجينيورينغ اكسبور,
,CALLADVANCE,CALLADVANCE,أدفنس للنداء ش م م,
ITAL AFRICA SERVICES,,,إيطاليا أفريكا سيرفيس ش م م,
,GESTHOBEL,GESTHOBEL,شركة جستوبال ش م م,
EVA COM,EVA COM,,إفاكوم,
,,تونس للتجهيز ش م م,تونس للتجهيز ش م م,
,,شركة النصر موبل  ش م م,شركة النصر موبل  ش م م,
A.H CONSULTING,A.H CONSULTING,,أ.هـ كونسلتينق,
,,,دراسات ش ش ذ م م,
EVENT'AIE,,,إيفنتاي ش م م,
,,,إدماج ومعالجة المعطيات مرافقة تصرف إداري ش م م,
,,قصر الزهور للخدمات ش ش م م,قصر الزهور للخدمات ش ش م م,
,V.G.I,V.G.I,شركة   ف.ج. إ,
,,,هـ م كنسلتينق وأدفايس ش ذ م م,
,AFRICA MULTI TRADE,AFRICA  MULTI TRADE,أفريكا ملتي ترايد,
,,كرمالو دي تراباني تونس,كرمالودي تراباني تونس ش م م,
,ZOLLNER-ELECTRONIQUE TUNISIA,ZOLLNER- ELECTRONIQUE TUNISIA,شركة زولينر الكترونيك تونيزيا م م,
,,المغربية للاسمنت,المغربية للاسمنت ش ذ م م --,
,,,شركة جمع وتثمين النفايات ش ش م م,
,,التونسية استشارة خدمات ش م م,التونسية استشارة خدمات ش م م,
Sté de TRAVAUX de CONSTRUCTION et PEINTURE,,,شركة أشغال البناء والدهن ش م م,
,,فرح فاشين ش م م,فرح فاشين ش م م,
,,,سيلاق كونساي ش ذ م م -,
,,,ويسدم كونساي ش ذ م م--,
,,,تيليو أباتو,
,PITCH  International SA,PITCH  International.SA,شركة بيتش أنترناسيونال خ أ,
,2CA,2 C A,دو  - س -  أ- مستشار مدقق  خبير محاسب,
,,,أكوما تونيزيا ش م م,
,COFATUBE,COFATUBE,كوفاتوب(في حالة تصفية),
,,سان كال سنتر ش م م,سان كال سنتر ش م م,
MED B-H-T SERVICES INTENTIONAL,,,ماد ب.هـ.ت خدمات دولية,
,Sté ETE sarl,Sté ETE sarl,شركة الأمتياز للتقنية الكهربائية ش م م,
,,,ربروزنتاسيون لصناعة  الكابل  ش ذ م م,
,,بيو أيموس بليس ش م م,بيو أيموس بليس ش م م,
,JIKAA,JIKAA,شركةجيكا,
PONZINI DESIGN CONCEPT,,,بونزيني دازين كونسبت ش م م,
,ECOSISTEME,ECOSISTEME,أيكوسيستام ش م م,
,ANSANI SERVICES,ANSANI SERVICES,أنساني سرفيس ش ش م م,
,KASTEN CONSULT Kaco,KASTEN CONSULT *Kaco*,كاستن كونسيلت ش ش م م,
,DB ENGINEERING,D B ENGINEERING,د ب انجينيورنق,
,,رافة سرفيس ش م م,رافة سرفيس ش م م,
,,,باريس تونس للالكترونيك ش ش ذ م,
,,,شركة جوفراي مرتناز ش ذ م م,
,,,ت.د.ب ا ش م م,
,TRANSTRADE  WORDE WIDE,TRANSTRADE  WORDE WIDE,ترانز ترايد  وورلد  وايد,
,,,أن جي كول ش ذ م م,
,SPRING,SPRING,شركة سبرنق,
M.CUISINE,M.CUISINE,,آم.كويزين,
,,شركة الشرق للتجميل ش م م,شركة الشرق للتجميل ش م م,
,GS CONFECTION,G S CONFECTION,ج آس  كونفكسيون,
STE ORTHOPEDIC DEVICES BY SCANNING,,,الشركة الاورتوبيدية للتقويم الآلي للأعضاء,
STE D'ASSISTANCE ET CONSULTING,,,شركة الدراسات والاستشارة,
NEGOCE CALL CENTER,,,نيقوس كال سنتر,
,,,ش التونسية  الكندية لمعالجة الانظمة المعلوماتية ش ذ م م,
,SMTEX,SMTEX,آس آم تاكس,
,,,أتـــــن  ش ذ م م,
,,الاضاءة المرئية,الاضاءة المرئية,
,SERPE,S E R P E,شركة   دراسات وانجاز  المشاريع الكهربائية,
,EUROMAGHREB TRADING+,STE  EUROMAGHREB TRADING+,شركة اورومغريب ترايدينق + ش ذ  م م,
STE.GENERALE DE SERVICES ET NETTOYAGES,,,الشركة العامة للتنظيف والخدمات,
,Global Marketing Company GMC,Global Marketing Company  G M C,قلوبال ماركوتينق كومبني,
,AMEN CONTROLE,AMEN CONTROLE,أمان كنترول ش م م في حالة تصفية,
,AMITEX,AMITEX,أ مي للنسيج ش ذ م م,
,,,قرين كونسابت ش ش  م م,
S.G.B.T.P,,,شركة قارة علي للبناء والأشغال العامة ش م م,
,GVR,GVR,ضمان النجاح ش م م,
,,,بيوليف تونس ش ذ م م,
,,,شركة ارتيستيكا ش ذ م م,
,HORCHANI DE TELEPERFECTION,HORCHANI DE TELEPERFECTION,شركة الحرشاني مركز برفكسيون ش  ذ م م,
,,,شركة الاخوة يحي للخياطة ش ش ذ م م,
,,,السلامة العالمية -  ش ش ذ م م,
,,أطلنطس للتنمية ش م م,أطلنطس للتنمية ش م م,
,,,كريستال فويس ش ش م م,
,,,شركة الغربي للكهرباء ش م م,
,,جيوبلوس العالمية ش م م,جيوبلوس العالمية ش م م,
,,مكتب اسلام حمزة ش ش م م,مكتب اسلام حمزة ش ش م م,
ELLE LINGERIE,ELLE LINGERIE,,هي للملابس,
,TUNISIA EXPORT COMPANY,TUNISIA EXPORT COMPANY,تونيزيا أكسبورت كومباني ش م م,
,,,رصايصي ديزاين في حالة تصفية  ش ذ م م,
,SOLAR23 TRADING,SOLAR 23 TRADING,صولار 23ترايدينق ش م م في حالة تصفية,
Sté Africaine de DEVELOPPEMENT,,,الشركة الأفريقية للتنمية ش م م,
,GIANT INTERNATIONAL.L.T.D.,GIANT INTERNATIONAL .L.T.D.,شركة جييان  العالمية . ل .ت .د.,
,,شركة ت ك ب انترناسيونال,شركة ت ك ب انترناسيونال,
,,الشركةالتونسيةللرخام بتالة,الشركةالتونسيةللرخام بتالة ش م م,
Sté VENIS LIONS,,,شركة فونيس ليونس ش م م,
BUSINESS-LINK,,,بيزنس لنك ش ش م م,
,CBCInc,CBCInc,الشاذلي البكوش للأستشارة ش ش م م في حالة تصفية,
GREEN WINGS INTERNATIONAL TRADING,,,الأجنحة الخضراء للتجارة الدولية ش ش م م,
,,,شركة ما . في في حالة تصفية,
,,,شركة ا . ب  س للنسيج  ش ش  ذ م م,
ICON INK,,,ايكون انك,
,,,شركة الاحاطة  والخدمات ش ذ م م,
CUBIC CONSULTING,,,كوبيك للاستشارة,
,,,شركة ايطاليا فيل ش م م,
MAGHREB CONSULT,,,مغرب للأستشارات ش م م,
Sté WEB INVEST,,,شركة واب أنفاست ش م م,
,,,ك .بي . آس ديزاين ش م م,
STE 3MGEO,,,شركة 3 آم جيو,
,,نيوتاكس,نيوتاكس,
,T-I-I,T-I-I,التونسية للهندسة  والبنية التحتية في حالة تصفية,
STE LAADHAR CONSULTING SERVICES,STE LAADHAR CONSULTING SERVICES,,شركة العذار كونسلتينغ سرفيس,
,,,شركة مـــروى - ذ م م,
,,,شركة هـــــــــدى  ش ذ م م,
,,,شركة سكسس أنترناسيونال تريدينغ ش م م,
,,الشاملة  لتطور  التجارة  الدولية,الشاملة  لتطور  التجارة الدولية,
EL HANI CONSEILS,,,الهاني للستشارة ش م م,
FM CONSULTING et LOGISTIC OFFICE,,,أف أم كونسلتينق و لوجستيك أوفيس ش م م,
Sté AM. RA MARBRE,,,شركة أمر للرخام ش م م,
,,,أ . م . م افضل الخدمات ش ذ م م,
,,شركة لاروزا,شركة  لاروزا,
,,ياسمين كونساي,شركة ياسمين كونساي,
,,,شركة بوصبيع  للمقاولات العامة- سوبوترا,
,,ماد مارين,ماد مارين,
,,,قوس قزح للسيارات ش ذ م م,
,LANTEL,LANTEL,لانتال,
BLACKBIRD,BLACKBIRD,,بلاك بيرد,
,RAPID LABELS,RAPID LABELS,شركة  رابيد لابل,
,,,شركة ماداكس للخياطة ش م م,
,KB CONSULTING,KB CONSULTING,ك ب كونسيلتينق ش ش م م,
MBAREK INTERNATIONAL TRADE,,,شركة مبارك أنترناسيونال ترايد ش ش م م,
STE BALKIS DE COMMERCE INTERNATIONAL,,,شركة بلقيس للتجارة الدولية,
A.S.A.M MODE,,,أ آس أ آم مود,
,NOKIA INTERNATIONAL OY TUNISIE,NOKIA INTERNATIONAL OY TUNISIE,نوكيا أنترناسيونال أوي تونس فرع في حالة تصفية,
,Baudin Suarl,Baudin Suarl,شركة بودان - سيارل,
,GESICA,GESICA,إدارة الأستثمار وإستشارة في الأصول ش م م,
STE OPEN NET CONSULTING,,,شركة أوبن نات مونسلتينق,
,NGI GAMES AFRICA,N G I GAMES AFRICA,أن.ج.أ قايمز أفريكا ش م م,
MB DESIGN,,,م ب ديزاين,
FAYAD,,,فياض ش م م,
,,,جاد كونسيلتينق ش ش م م في حالة تصفية,
,,كو نستريبات ش م م,كو نستريبات ش م م,
,,,شركة هارون وماروان للمسابك ش م م,
,,,اقرونوم,
STE UNIVERS CALL,,,أونيفار كال,
,,ك بونت ش م م,ك بونت ش م م,
,Maghreb Media Consulting sarl,Maghreb Media Consulting sarl,مغرب ميديا للأستشارة ش م م,
,P.I.C,P . I .C,شركة بيرل العالمية للاستشارة في حالة تصفية,
,,,شركة كوبريمو,
STE NORD AFRIKA TECHNOLOGY,NAT,,شركة شمال افريقيا للتكنولوجيا (غيرمقيمة) ش م م,
,EMME.PI,EMME.PI,شركة  امي بي  ش ذ م م,
,,الشركة التونسية المغربية للتزويق,الشركة التونسية المغربية للتزويق,
,S+,S+,شركة سرفيس بليس,
,CDC CONSULTING,C D C CONSULTING,س. د . س كنسيلتينق,
Sté JIHED et IYED de PROMOTION IMMOBILIERE,JIPI,,شركة جهاد و إياد للبعث العقاري ش م م,
,Sté GESCONAL,Sté GESCONAL,شركة جاسكونال ش م م,
,LES 3M TELESERVICES,LES 3 M  TELESERVICES,شركة 3 م تيليسرفيس,
BEST COMMUNICATION,,,باست كومينيكيشن ش ش م م,
,,الطيب للنسيج والخياطة,الطيب للنسيج والخياطة,
,,,فاشيون أندوستري قروب ش م م,
D- CUISINE,D- CUISINE,,د - كويزين,
,,حدائق كان ش م م,حدائق كان ش م م,
,,,شركة الفوز للتجهيز والصيانة والتجارة ش ش ذ  م م,
,,أكسكوم ش م م,أكسكوم ش م م,
,,,دلقاسيون اي سرفيسيوس برا كونقرسسوس اي كونفنسيونس افريكا رجيونال اوفيس في حالة تصفية,
PROGES,,,بروجاس ش م م,
,,س أو س كونسولتينغ ش م م,س أو س كونسولتينغ ش م م,
,,,الرفيق للخدمات والاستشارات,
,,غواتاي العالمية ش م م,غواتاي العالمية ش م م,
,,,كونفكسيون  وبرودري اندستريال بتونس,
,,شركة الشرق الأخضر خ أ,شركة الشرق الأخضر خ أ  في حالة تصفية,
,SHUN.FA.INTERNATIONAL,SHUN.FA.INTERNATIONAL,شنفا العالمية ش م م,
,G.A.S,G.A.S,الشركة العامةللتدقيق والخدمات ش م م,
,,عزيزة,شركة عزيزة,
,,,أفريكان فود ش م م,
,,,شركة آدم ش ذ م م,
,,,نالسن والمصمودي للرسكلة ش م م,
,EUROPE VISION,EUROPE VISION,شركة أوروبا فزيون,
,GAMMA SERVICES,GAMMA SERVICES,قاما  سرفيس,
HAMMAMET MARKETING,,,حمامات للتسويق ش م م,
,MPL TECNOLOGY,M P L  TECNOLOGY,أم ـ بي ـ أل  تكنولوجي,
,,شركة فخري الطنيب التجاري ش م م,شركة فخري الطنيب التجاري ش م م,
,BM,BM,العامة للخياطة ب م ش م م,
,,شركة الصغروني ترايدينق ش م م,شركة الصغروني ترايدينق ش م م,
WTC,,,شركة وايت للتجارة ش م م,
(STE ETABOIS IMMOBILIERE (SOCIETE EN LIQUIDATION,STE ETABOIS IMMOBILIERE,,شركة ايتبوا العقارية(شركة في طور التصفية),
,POINT NEGOCE,POINT NEGOCE,بوان نيقوس ش م م,
,INTERNATIONAL CONSULTING,INTERNATIONAL CONSULTING,شركة أنترناسيونال كونسيلتينق ش ش م م,
Sté ARTIPATI,,,أرتيباتي ش م م,
,,وايكوس أنت ش م م,وايكوس أنت ش م م,
,,,العامةللخدمات والصيانةالبحيرة,
,Sté PROGES EXPORT,Sté PROGES EXPORT,شركة المحترفين في التصرف والستشارة والأعلامية ش م,
,Equals Tunisie,Equals Tunisie,إكوالز تونيزي,
,,,كوطو دال مديترانيو ش م م,
,NATURA,NATURA,شركة أكريتا,
,,بوايا للأعلامية والخدمات ش ش م م,بوايا للأعلامية والخدمات ش ش م م,
,TAR TEX INTERNATIONAL SERVICES,TAR TEX INTERNATIONAL SERVICES,ستارتاكس الدوليةللخدمات,
,RAMUS,RAMUS,شركةراموس,
,,,شركة الصيانة العامة,
,TUCOS,TUCOS,التونسية للمراقبة والخدمات ش م م,
,AIZIR,AIZIR,أيزير ش م م,
STE WIRECOM CONSULTING,,,ويركوم كنسلتينغ,
WOLF'S CAR SERVICES,,,ولفز لخدمات السيارات,
,PROTEC,PROTEC,بروتاك ش م م في حالة تصفية,
ARABIA DMC SARL,,,أرابيا دي أم سي ش م م,
,,كرط سيستم ش ش م م,كرط سيستم ش ش م م,
,MEDITERRANEAN ASSISTANCE,MEDITERRANEAN ASSISTANCE,المتوسطية للخدمات ش م م,
,MOBILE COM,MOBILE COM,موبيل كوم ش م م,
,BDI,B D I,شركة بليلي ديزاين اندستريال,
,,شركة برفورمانس أنترناسيونال ش م م,شركة برفورمانس أنترناسيونال ش م م,
,,المشتركة للغاز,الشركةالتونسيةالليبيةلنقل الغاز المشتركة للغاز,
,,شركة ماي ونوفوتي ش م م,شركة ماي ونوفوتي ش م م,
,D.A.F+,+D.A.F,الدعجي للمساندة والتكوين+,
,,قاما بيب ش م م,قاما بيب ش م م,
,,تكنو باط ش م م,تكنو باط ش م م في حالة تصفية,
,,,أووترمار تونس,
,PAS A PAS,PAS  A  PAS,شركة خطوة بخطوة,
,,شركةصناعةالخبزوالحلويات التضامن,شركةصناعةالحبزوالحلويات التضامن,
,CHAUFROI B HASSINE INTERNATIONAL,CHAUFROI B HASSINE INTERNATIONAL,شوفروابن حسين الدولية,
,PHONE CONCEPTsarl,PHONE CONCEPTsarl,شركة فون كنسابت ش م م,
SHE- EVENTS,,,شي-أفنتز ش ش م م,
,GLORIA MARE,GLORIA MARE,شركة قلورياماري,
,GROUPE CIC TUNISIE,GROUPE CIC TUNISIE,مجمع القرض الصناعي والتجاري الفرنسي,
,FACE Consulting,FACE Consulting,شركة التكوين والمساعدة الفنية ش م م,
,S. T . I,S. T . I,شركة الخدمات والتقنية الصناعية,
,,مستركورن,شركةمستر كورن,
,,شركة البعث العقاري عقارية اليسر خ أ,شركة البعث العقاري عقارية اليسر خ أ,
,UNIVERSAL TRAVAUX,UNIVERSAL TRAVAUX,العالميةللاشغال,
,,,شركة غليونة ـ كوم ـ,
,VICTORY,VICTORY,شركة فيكتوري ش م م,
,,,شركة ترانفريدو,
,,,شركة نتوورك تكنولوجي,
,,,يودا العقل المتصرف,
,,شركة دروافيل ش م م,شركة دروافيل ش م م,
,ste IMTIDADAT,ste IMTIDADAT,امتدادادت,
,VITABRI EVENT,VITABRI EVENT,فيتابري ايفانت ش م م,
,MEKKA CAFE,MEKKA CAFE,ح ت ب ش م م,
,,,شركة .أم ساي أوديت شركة في حالة تصفية,
,,شركة الميزوري للترفيه والخدمات,شركة الميزوري للترفيه والخدمات,
,S.T.T.T,S.T.T.T,شركةالنسيج والملابس الصوفية التونسية,
,NABUI,NABUI,شركة الأستشارات والمساعدةللمستثمرين بشمال افريقيا ش م م,
PROJECT MANAGEMENT OFFICE TUNISIA,,,بروجاكت مناجمنت أوفيس تونس ش م م,
,,,شركة قيروان ترايد وشركائه تونسية,
,,,شركة الأحياء والتنمية الفلاحية الكرم خ أ,
,MM &V,MM &V,ماركو ماركتينك اند فيزيون,
,ste ANDALUCIA TRADING,ste ANDALUCIA  TRADING,اندلوسية للتجارة,
,ste INOV CONSULTING,ste INOV CONSULTING,اينوف للاستشارة,
,SERRE,SERRE,سار,
,,بلاتينيوم أنفسد ديزاين ش م م,بلاتينيوم أنفسد ديزاين ش م م,
DELMON GROUP TUNISIA,.,.,دالمون قروب تونيزيا,
,,,لاقون للاسشتثمار,
,,,شركة الخدمات الملكية الدولية,
STE KAYA GROUPE,STE KAYA GROUPE,,"شركة ""قايا مجمع"" ش ش م م",
,ARTISS.REVE DECOR,ste .ARTISS.REVE DECOR,أرتيس راف ديكور,
,DELTA CORPORATION,ste  DELTA CORPORATION,دلتا كوبوراسيون في حالة تصفية,
,NTC,N T C,التكنولوجيا الجديدة للهندسة,
,ste SVOA,ste SVOA,أس.في.أو.ا,
,,,بيق باق باش ش م م,
,E.P Téchnologie,E.P Téchnologie,أ ب تكنولوجي ش م م,
STE D'EMBALLAGE DES PRODUITS DE CONSOMATION S-E-P-C-O,,,شركة تعليب مواد الاستهلاك,
,,,حنبعل للاتصالات,
,ste SISTI,ste SISTI,الشركة الدولية لخدمات التكنولوجيا الاعلامية,
,,شركة البركةللأستغلال الفلاحي ش م م,شركة البركة للأستغلال الفلاحي ش م م,
,,,شركة اتنكــا,
,,تونيزيا بارتنار ش م م,تونيزيا بارتنار ش م م,
,SATISFACTION CALL CENTER,SATISFACTION CALL CENTER,مركز الرضى للمكالمات,
,,تونس للحدادة ش م م,تونس للحدادة ش م م,
,AGRIMEL sarl,AGRIMEL sarl,أقريمال ش م م,
,ste N.B.T.A.PRODUCTION,ste N.B.T.A.PRODUCTION,ن.ب.ت.أ.للانتاج,
,ste LYSAK ASSISTANCE SERVICEL.A.S,ste LYSAK ASSISTANCE SERVICE'L.A.S',ليزاك مساعدة  وخدمات,
,GEM-INFO,GEM-INFO,شركة جام أنفو ش م م,
,G.G.A CONSULTING,G.G.A CONSULTING,ج.ج أ للأستشارة ش م م,
TECHNOLOGIE DE PRODUCTION (TECHNOPROD) sarl,,,تكنولوجيا الإنتاج (تكنوبرود) ش م م,
CFC,,,مكتب تكوين و إستشارة ش م م,
,,مسترا تونس ش م م,مسترا تونس ش م م,
,SOMIP,ste  SOMIP,شركة سوميب,
IRIS MARKETING,,,ايريس للتسويق ش م م,
,ste TEL'ECOLE CENTRE,ste TEL'ECOLE CENTRE,تيليكول سنتر,
,SAGEM SOFTWARE&TECHNOLOGIES,STE  SAGEM SOFTWARE&TECHNOLOGIES,ساجام سوفتوار&تكنولوجيات,
,,,هاش آس تراينيق سنتر,
,,,شركة سبيماتكس ش م م,
,ste QALB SPORT INTERNATIONAL,ste QALB SPORT INTERNATIONAL,شركة كالب الرياضة العالمية,
,,,م ت ب للأستشارات ش م م,
,,,قلوبال ديفيسيون العالمية  -  شركة في حالة تصفية,
,,أبتار ديزين ش م م,أبتار ديزين ش م م,
A.C.S.F,,,شركة أ.س.أس.أف ش م م,
,ZEITOUNA.MARKETING,ste ZEITOUNA.MARKETING,زيتونة ماركوتينغ,
,AGMIN ITALY,AGMIN  ITALY,أقمين ايطاليا فرع,
,L.E.T,ste  L.E.T,لاكروا الكترونيك تونس,
,,,شركة ارتي دولشي,
,,شركة كريساليد ش م م,شركة كريساليد ش م م,
,AMA CONSULTING,AMA CONSULTING,أما للاستشارة,
,,شركة بروديم تونس ش ش م م,شركة بروديم تونس ش ش م م,
,,,ماي كليك ش م م,
SOWHAT,,,سوات ش م م,
,DELTA POLYSTRUCTURES,DELTA  POLYSTRUCTURES,دلتا بولستركتير ش م م,
Sté  Mind HR,,,شركة مايند هر ش م م,
,TUNISTEEL,TUNISTEEL,تونيستيل,
,,الحمد للطباعة والورق المقوى,شركة الحمد للطباعة والورق المقوى,
,,أمين مود,شركة  امين مود في حالة تصفية,
,ste THE EXPERT ASSOCIATES,ste THE EXPERT ASSOCIATES,شركة الشركاء الخبراء,
ITALTUN,,,ايطالتون وشركائها للمقاولات العامة,
,,,الشركة العامة لخدمات الأعلامية ش م م,
,PINA,PINA,شركة بينا ش م م,
,AUSOMA,AUSOMA,شركة أوسوما ش ش م م,
Sté TUNISIE ENTREPRISE,,,التونسية للمؤسسة ش م م,
,,ستارس كونسيلتينق ش م م,ستارس كونسيلتينق ش م م,
STE INTERNATIONALE DES CONGRES,DISTRI-EVENTS,,الشركة العالمية للمؤتمرات,
,ITALY 2006,ITALY 2006,ايطاليا 2006,
,ste EXPEDITION,ste EXPEDITION,اكسبيديسيون,
,ste ACTIVE SERVICES,ste ACTIVE SERVICES,اكتيف سرفيس,
,,سيف,شركة أنتار فلاكسيبل ش م م,
,ste ABS.TUNISIE/CAT,ste ABS.TUNISIE/-CAT,أ.ب.س.تونيزي/كات,
,,شركة النعمة,شركة النعمة,
,Z.S,Z.S,زوم ستوديو ش ش م م,
,NORTH AFRICA GROUP,NORTH AFRICA  GROUP,نورث افريكا قروب خ إ,
,M.S.A,M . S . A,الشركة العالمية للخدمات والاعمال,
,NAIS CONFECTION,ste  NAIS CONFECTION,نايس للخياطة,
,,,ل ك م للتجارة,
,TECHNIMETAL,te TECHNIMETAL,شركة تكنيميتال,
OTIK,,,أوتيك ش ش م م,
MEDACOP,,,المتوسطية للتنمية والفلاحة والتعاون والشراكة ش ش م م,
,,فنون الدهن والتزويق ش م م,شركة فنون الدهن والتزويق ش م م,
,MACO PRODUCTIONS TUNISIE,MACO PRODUCTIONS TUNISIE,ماكوبرودكسيون تونس,
,,,ديال أند سمايل ش م م,
,,شركة الأنتاج الفلاحي صوبراك مبروكة ش م م,شركة الأنتاج الفلاحي صوبراك مبروكة ش م م,
,,,ريفالاد للأستشارة ش ش م م,
,,دار لميمة ش م م,دار لميمة ش م م,
,,المكتب التونسي للدراسات  والانتاج,المكتب التونسي للدراسات والانتاج,
,,أنيتال سرفيس ش م م,أنيتال سرفيس ش ش م م,
,,موسفا ش م م,موسفا ش م م - شركة في حالة تصفية,
,POLYNEGOCE INTERNATIONAL,POLYNEGOCE INTERNATIONAL,شركة بولينيقوس العالمية,
AL HARAMAYN,,,الحرمين ش ش م م,
,,برناردي للخدمات,برناردي  للخدمات,
INTELLIGENTIA,,أنتلجنسيا,أنتلجنسيا,
,,,عقارية بن دبة ش م م,
,,,ج و د فاشيون ش ش م م,
,STE.ARCHITERIO DESIGN,,شركة أرشيتريو دزيني,
,SOCIETE MARA TRADING,SOCIETE MARA TRADING,شركة مارا للتجارة,
,C.D.R.IMPIANTI,C.D.R.IMPIANTI,س.د.ر.امبيانتي,
,,شركة فابر سوفت ش م م,شركة فابر سوفت ش م م,
,F.B.A.PROD-ACTION+,F.B.A.PROD-ACTION+,فنون باشا العرب برودأكشن بلوس,
,,ترادكس ش م م,ترادكس ش م م,
,ste THEMA CONSULTING,ste THEMA CONSULTING,تيما كونسلتينق,
EL -AMENA SERVICES & CONSULTING,,,الأمانة للخدمات والاستشارات,
,TUNISTAR,TUNISTAR,الشركة السياحية تونستار خ أ,
,,فيتيس للتكوين ش م م,فيتيس للتكوين ش م م,
,,شركة تنمية المهارات والأستشارات ش م م,شركة تنمية المهارات والأستشارات ش م م,
,,ساكنو لوجي ش  م م,ساكنو لوجي ش  م م,
,,,باربون ش م م,
,,أر.ف كونسلتنق ش ش م م,أر.أف كونسلتنق ش ش م م,
GOOD PLASTIC,,,قوود بلاستيك,
,,س &ن كنسلتينق ش م م,س &ن كنسلتينق ش م م,
,CFEC,CFEC,شركة سفاك,
,STE CAP DECO,STE CAP DECO,شركة كاب ديكو,
,,مجمع  ميديالين العالمي,مجمع  ميديالين العالمي,
,,,,
ste Bibou Rent a Car,.,.,شركة بيبو لكراء السيارات,
,STE.HAMDI FRERES INFORMATIQUE,,شركة الإخوة حمدي للإعلامية,
RASLEN DESIGN ET CONCEPT,.,.,رسلان ديزاين وتصميم,
,,,الشركة المدنية الفلاحية النور,
,SOCIETE CIVILE AGRICOLE AGRICULT,*SOCIETE  CIVILE AGRICOLE *AGRICULT,الشركة المدنية الفلاحية,
STE CIVILE IMMOBILIERE AMAL,,,الشركة المدنية العقارية أمل,
,le Concentre,le Concentre ش الخدمات الفلاحية,ش المدنية للخدمات الفلاحية,
,,,تونس,
,BEAU,BEAU مكتب الدراسات المعماريةوالعمرانية,مكتب الدراسات المعمارية والعمرانية,
,,,ش الاحياء والتنمية الفلاحية الرزاق,
,SACARDIM,SACARDIM,ساكارديم,
,,شركة عبير للنزل,شركة عبير للنزل,
,M.R.S,M.R.S امراس,ميلتى ميديا روسورس سيستام,
,,,أورو ماقراب كنسولتينق,
,ACORN TUNISIE,ACORN TUNISIE,أكورون تونس ش م م -  لم يمدنا بوصل الاشهار بالرائد الرسمي,
,,,مادي داتا سرفيس,
Sté GREEN,,,شركة قرين ش ش م م,
,ECOGEST,ECOGEST,ايــكو جاست,
,TEC.TUNISIA,تاك تونيزيا  TEC.TUNISIA,شركة تاك تونيزيا ش م م,
,,,أنترنسيونال توب سرفيس ش ش م م,
SITC,,,شركة أنتركليما خ إ,
,,ليفي للخياطة,ليفي للخياطة ش م م,
,,الدريدي للخياطة,الدريدي للخياطةش م م,
HR CREATIVE,,,ه ر كريتف ش ش م م,
REC CREATIVE,,,راك كرياتيف ش م م,
,,بلوس كنسلتنق ش ش م م,بلوس كنسلتنق ش ش م م,
,,,بيلدازر قروب ش م م,
COSL FORCE LTD,COSL FORCE LTD,كوسل فورس ل ت د فرع,كوسل فورس ل ت د فرع,
SOTRACELEC,,,شركة الاشغال  الكهربائية,
KIEV CONSULT,KIEV CONSULT,,كياف للاستشارة,
,KATEX2,KATEX 2,شركة كاتاكس 2,
,FLORA TUNIS,FLORA TUNIS,فلورا تونس,
,CHOCOLAT,StéCHOCOLAT,شركة شوكولا ش م م,
HZ CONSULTING,HZ CONSULTING,,ح ز كونسلتينغ,
,,شركة بوجيو باجيو تونس ب ب ت ش م م,بوجيو باجيو تونس ب ب ت ش م م,
ABO CONSULTING,ABO CONSULTING,,أب أو كنسلتينع(في طور التصفية),
SOCIETE ALLTRADE MED,,,شركة التراد ماد,
PEAK SOFT,,,بيك سوفت ش م م,
,,أوبن سوفت ش م م,أوبن سوفت ش م م - لم يمدنا بوصل الاشهار بالرائد الرسمي,
,,,أ ك أندوستري ش م م,
SIBEA TUNISIA,,,سيبيا تونيزيا ش م م,
TELCO PROGRESS EN COUR DE LIQUIDATION,TELCO PROGRESS,TELCO PROGRESS,تلكو بروقراس في طور التصفية,
ILYES MHIRSI COUPE,,,الياس محيرصي كوب,
,,مولتيكاستلك ش ش م م,مولتيكاستلك ش ش م م,
,,شركة قيفتز كونسابت ش م م,شركة قيفتز كونسابت ش م م,
ITALRESINE,,,ايتال ريزين,
Sté CARTE BLANCHE,,,شركة كارت بلانش ش ش م م,
,,,التسويق الاستشارات والخدمات العالمية,
,UNIVERSAL CALL  SARL,UNIVERSAL CALL  SARL,شركة انيفرسال كول  ذ م م,
,,شاين أنترناسيونال ترايدنق,شاين أنترناسيونال ترايدينق ش م م,
