company_name_fr,company_name_commercial,company_name_arabic,company_name_arabic_full,region
STE GALERIE DU CONFORT IMMOBILIERE,,,شركة رواق   الرفاهة العقارية,
SOFT   WARES  AND APPLICATION MAKERS,,,صانع النظم والبرمجيات,
STE KASSARA TRANSPORT,,شركة قصارة للنقل,شركة قصارة للنقل,
STE  GENERAL TRANSPORT MULTI  MODALE,STE  GENERAL TRANSPORT MULTI  MODALE,الشركة العامة للنقل متعدد الوسائط,الشركة العامة للنقل متعدد الوسائط,
STE MANR  SERVICES  IMPRIMERIE,,,شركة المنار لخدمات الطباعة,
STE MAILYN,,,شركة مايلين,
ASSISTANCE TECHNIQUE  INDUSTRIELLE,,,"المساعدة  التقنية الصناعية"" في حالة تصفية""",
STE  BIO-AMANDE,,,بيو امند,
STE SOJEX OIL,,شركة الجموسي لتصدير زيت الزيتون,شركة الجموسي لتصدير زيت الزيتون(في حالة تصفية),
STE IMMOBILIERE  AL  MAYAR,,,شركة  عقارية الميار,
,,شركة الزهراء للنظافة,شركة الزهراء للنظافة,
STE EL WAFA DE CONSTRUCTION,,شركة الوفاء للمقاولات,شركة الوفاء للمقاولات,
STE   ITALFOOD,,ITALFOOD,شركة ايتال فود,
,,شركة التجهيزات  العامة للبناء  للتصدير,شركة التجهيزات العامة للبناء   للتصدير,
STE BEN AYED FRERES  DE PEINTURE ET DE  BADIGEONNAGE,,,شركة  بن عياد اخوان للدهن والتبييض,
STE SINIMMAR DE PROMOTION IMMOBILIERE,,شركة سنمار للبعث العقاري,شركة سنمار للبعث العقاري,
STE DELTA   TECHNOLOGY,,,شركة  دلتا تكنولوجي,
EGC   GROS,,,مؤسسة   القرقوري  لبيع  مواد البناء بالجملة,
ste Bibou Rent a Car,.,.,شركة بيبو لكراء السيارات,Api Tunis
,STE.HAMDI FRERES INFORMATIQUE,,شركة الإخوة حمدي للإعلامية,
RASLEN DESIGN ET CONCEPT,.,.,رسلان ديزاين وتصميم,
,,,الشركة المدنية الفلاحية النور,
,SOCIETE CIVILE AGRICOLE AGRICULT,*SOCIETE  CIVILE AGRICOLE *AGRICULT,الشركة المدنية الفلاحية,
STE CIVILE IMMOBILIERE AMAL,,,الشركة المدنية العقارية أمل,
,le Concentre,le Concentre ش الخدمات الفلاحية,ش المدنية للخدمات الفلاحية,
,,,تونس,
,BEAU,BEAU مكتب الدراسات المعماريةوالعمرانية,مكتب الدراسات المعمارية والعمرانية,
,,,ش الاحياء والتنمية الفلاحية الرزاق,
,SACARDIM,SACARDIM,ساكارديم,
,,شركة عبير للنزل,شركة عبير للنزل,
,M.R.S,M.R.S امراس,ميلتى ميديا روسورس سيستام,
,,,أورو ماقراب كنسولتينق,
,ACORN TUNISIE,ACORN TUNISIE,أكورون تونس ش م م -  لم يمدنا بوصل الاشهار بالرائد الرسمي,
,,,مادي داتا سرفيس,
Sté GREEN,,,شركة قرين ش ش م م,
,ECOGEST,ECOGEST,ايــكو جاست,
